Company,Current CEO,"Gender (1 female, 2 male)",Date Employed
GM,Mary Barra,1,2014-01-15
Best Buy,Corie Barry,1,2019-06-01
Anthem Inc,Gail Bordeaux,1,2017-11-06
Mylan N.V.,Heather Bresch,1,2012-01-01
Hershey,Michele Buck,1,2016-12-01
Ventas,Debra Cafaro,1,1905-06-21
Oracle,Safra Catz,1,2014-09-01
Ulta,Mary Dillon,1,2013-06-01
Nasdaq,Adena Friedman,1,2017-01-01
Kohls,Michelle Gass,1,1905-07-05
Duke,Lynn Good,1,2012-06-01
Progressive,Tricia Griffith,1,2016-07-01
Lockheed Martin,Marillyn A. Hewson,1,2013-01-01
Occidenal,Vicki Hollub,1,2016-04-01
Franklin Resources,Jennifer Johnson,1,2019-11-21
Synchrony,Margaret M. Keane,1,2014-02-01
CDW,Christine A. Leahy,1,2019-01-01
KeyBank,Beth Mooney,1,2011-05-01
General Dynamics,Phebe N. Novakovic,1,1905-07-04
Regency Centers,Lisa Palmer,1,2020-01-01
Zoetis,Kristin Peck,1,2020-01-01
CMS,Patricia Poppe,1,2016-07-01
Ross,Barbara Rentler,1,2014-06-01
IBM,Virginia Rometty,1,2012-01-01
Celanese,Lori Ryerkerk,1,2019-05-01
American Water Works,Susan Story,1,2014-05-01
Advanced,Lisa Su,1,2014-10-01
Accenture,Julie Sweet,1,2019-09-01
Arista,Jayshree V. Ullal,1,2008-10-01
Northrop,Kathy Warden,1,2019-01-01
Gap,Sonia Syngal,1,2020-03-23
Vertex,Reshma Kewalramani,1,2020-04-01
UPS,Carol Tome,1,2020-06-01
Apple,Tim Cook,2,2020-08-11
Microsoft,satya nadella,2,2014-02-04
Amazon,jeff bezos,2,1905-06-18
Facebook,mark zuckerburg,2,1905-06-26
Alphabet,sundar pichai,2,2019-12-03
Berkshire Hathaway,warren buffet,2,1905-05-23
Visa,Alfred F Kelly Jr,2,2016-12-01
JP Morgan,jamie dimon,2,2005-12-31
Johnson and Johnson,alex gorsky,2,2012-04-26
Mastercard,Ajaypal Singh Banga,2,2010-06-01
Walmart,Doug McMillon,2,2020-02-14
Proctor and Gamble,David S. Taylor,2,2020-11-15
Intel,Bob Swan,2,2018-06-21
Bank of America,Brian Moynihan,2,2020-01-10
At&T,Randall L. Stephenson,2,2020-05-07
United Health,David S. Wichmann,2,2020-09-17
ExxonMobile,Darren Woods,2,2020-01-17
The home depot,Craig Menear,2,2020-11-14
Walt Disney,Bob Chapek,2,2020-07-05
Coca-Cola,James Quincey,2,2020-05-17
Verizon,Hans Vestberg,2,2020-08-18
Merck,Kenneth C. Frazier,2,2020-01-11
Pfizer,Albert Bourla,2,2020-01-09
Chevron,Mike Wirth,2,2020-02-18
Cisco,Chuck Robbins,2,2020-07-15
Comcast,Brian L. Roberts,2,2020-11-02
PepsiCo,Ramon Laguarta,2,2020-10-18
WellsFargo,Charles W. Scharf,2,2020-10-01
Boeing,Dave Calhoun,2,2020-01-20
Adobe,Shantanu Narayen,2,2020-12-07
Avery Dennison Corp,Mitchell R. Butier,2,2020-05-16
Baker Hughes Co,Lorenzo Simonelli,2,2020-10-17
