,Symbol,slope_after,full_slope,gender_for_SA
0,APD,-0.0002841298378530454,-0.0002841298378530454,2.0
1,AES,0.0002521185436878478,0.0002521185436878478,2.0
2,AVB,-0.0002443963818736605,-0.0002443963818736605,2.0
3,DAL,3.5496402023124785e-05,3.5496402023124785e-05,2.0
4,gm,-0.00014013877321722312,-0.00014013877321722312,1.0
5,NWL,-0.008475639826413644,0.0005836522647984061,2.0
6,SO,-1.0031381639805527e-05,-1.0031381639805527e-05,2.0
7,BWA,0.0006540114981764949,0.0006540114981764949,2.0
8,TROW,0.0002050460622726084,0.0002050460622726084,2.0
9,key,0.00032304361761598225,0.00032304361761598225,1.0
10,PCAR,0.0007269659282843912,0.0007269659282843912,2.0
11,SBAC,-0.000670222447952738,-0.000670222447952738,2.0
12,msft,-9.115663259941924e-05,-9.115663259941924e-05,2.0
13,ALXN,-0.0005069321437713799,-0.0005069321437713799,2.0
14,BXP,-6.590063429054437e-05,-6.590063429054437e-05,2.0
15,STT,0.0006958112070547034,0.0006958112070547034,2.0
16,pep,-0.0004462507564943616,-0.0004462507564943616,2.0
17,BLL,-0.0010045086812334857,-0.0010045086812334857,2.0
18,BAC,0.0005358812773328916,0.0005358812773328916,2.0
19,WMT,0.03454518683887254,0.00024226529451405537,2.0
20,DIS,0.00012928230500193865,0.00012928230500193865,2.0
21,MHK,0.00019300285931978455,0.00019300285931978455,2.0
22,AKAM,-0.0003003657685148439,-0.0003003657685148439,2.0
23,BIIB,0.00029619174270642876,0.00029619174270642876,2.0
24,CPB,0.00040436454898334397,0.00040436454898334397,2.0
25,ALB,-0.00048476822117538525,-0.00048476822117538525,2.0
26,BAX,-0.0009369545454251672,-0.0009369545454251672,2.0
27,BDX,0.0013136694371554908,-0.00031035726210614856,2.0
28,BRK-B,0.00035897722737608255,0.00035897722737608255,2.0
29,BBY,0.004168924089680949,0.00023763417853845417,1.0
30,NUE,0.007275802132612552,0.00017864857769028184,2.0
31,SEE,-0.00038295342230386744,-0.00038295342230386744,2.0
32,UPS,0.0004344501255129665,0.0004344501255129665,2.0
33,ADM,0.00028526701665826084,0.00028526701665826084,2.0
34,CBOE,-0.00022558623941269543,-0.00022558623941269543,2.0
35,LMT,-8.429672825088121e-05,-0.00021843892633908126,1.0
36,MSI,-0.0006291225143580477,-0.0006291225143580477,2.0
37,NTRS,0.0006375504226127634,0.0006375504226127634,2.0
38,NOC,-0.0001791256645230246,-0.0001791256645230246,1.0
39,UNH,-6.714127885163341e-05,-6.714127885163341e-05,2.0
40,M,-0.0002791388518568839,-0.0002791388518568839,2.0
41,PG,6.522960127888655e-05,6.522960127888655e-05,2.0
42,PGR,-0.0015458616610318254,-0.0015458616610318254,2.0
43,SHW,0.0004287556969572119,0.0004287556969572119,2.0
44,AFL,-0.00013286090424769584,-0.00013286090424769584,2.0
45,CMI,0.000610840764508201,0.000610840764508201,2.0
46,MNST,-0.0006229537228635925,-0.0006229537228635925,2.0
47,ATO,-0.001582626715840823,-0.0005748787524325277,2.0
48,LUV,0.0003535836504879877,0.0003535836504879877,2.0
49,TXN,-6.76115832758547e-05,-6.76115832758547e-05,2.0
50,ABMD,-0.0005171624364309738,-0.0005171624364309738,2.0
51,ACN ,-0.00010251662285173225,-0.00010251662285173225,2.0
52,F,-5.20305170667754e-05,-5.20305170667754e-05,2.0
53,CAT,0.0006484978720669149,0.0006484978720669149,2.0
54,CF,-1.3705986658087094e-05,-1.3705986658087094e-05,2.0
55,MDLZ,-0.0008496590252086004,-0.0008496590252086004,2.0
56,AAPL,0.00044572925009631856,0.00044572925009631856,2.0
57,DVA,0.0034213889354194563,0.0003252570355014669,2.0
58,NEM,0.004845589183250435,-0.0004206080319401466,2.0
59,DUK,-0.0007712274210708225,-0.0007712274210708225,2.0
60,CAH,0.0002953245186689051,0.0002953245186689051,2.0
61,CHRW,-3.073458281311162e-05,-0.000484038329290333,2.0
62,GD,-0.0002739650179569961,-0.0002739650179569961,1.0
63,ZTS,-0.003290603556139546,-0.00020161219818578673,1.0
64,CMS,-0.00034568502380183304,-0.00034568502380183304,2.0
65,KO,-0.00029528861056723154,-0.00029528861056723154,2.0
66,AAL,1.4268350901761093e-05,1.4268350901761093e-05,2.0
67,DHI,8.854977194270694e-05,8.854977194270694e-05,2.0
68,AVY,0.00036932232521248346,0.00036932232521248346,2.0
69,ULTA,-0.0009153096627850088,-0.0009153096627850088,1.0
70,APA,-0.000266797696344673,-0.000266797696344673,2.0
71,BKR,-0.00012945931953663682,-0.00012945931953663682,2.0
72,COG,-0.0004463844866302828,-0.0004463844866302828,2.0
73,CNP,-0.0020437128962338645,-0.000324609852024033,2.0
74,NOV,0.00010850598301340729,0.00010850598301340729,2.0
75,NBL,-4.282985693614375e-05,-4.282985693614375e-05,2.0
76,SYY,0.007622391659237459,0.00028926598968954107,2.0
77,SPG,-0.0001287035913434591,-0.0001287035913434591,2.0
78,CE,-0.0005093148895688449,0.00045274888493039496,1.0
79,XOM,0.006669200484050176,-0.00016503219715570072,2.0
80,AJG,-0.00011880101189943156,-0.00011880101189943156,2.0
81,CSX,-0.00031132284003554085,-0.00031132284003554085,2.0
82,VZ,0.000172397153775547,0.000172397153775547,2.0
83,NEE,-8.457061103556644e-05,-8.457061103556644e-05,2.0
84,SYK,-0.0006436658445639216,-0.0006436658445639216,2.0
85,SNA,0.0002698164112408377,0.0002698164112408377,2.0
86,BR,-0.0003778841580742746,-0.0003778841580742746,2.0
87,CDW,0.0070293087399420084,0.0005978145414452915,1.0
88,MA,-0.0001329202349707429,-0.0001329202349707429,2.0
89,CBRE,7.535434167585725e-05,7.535434167585725e-05,2.0
90,NFLX,-0.0008716810206599039,-0.0008716810206599039,2.0
91,BF-B,0.0002737996359338129,0.0002737996359338129,2.0
92,LNT,-0.0007649858188374087,-0.00029057395352672895,2.0
93,BSX,-0.00030333423004057236,-0.00030333423004057236,2.0
94,CSCO,-0.0006103619107264434,-0.0006103619107264434,2.0
95,HSY,-0.000356291737400426,-0.000356291737400426,1.0
96,AZO,0.00022654469708226015,0.00022654469708226015,2.0
97,MAA,7.727777671576104e-05,7.727777671576104e-05,2.0
98,NI,-0.0012750926589758498,-0.0012750926589758498,2.0
99,CCL,-6.240898020429931e-05,-6.240898020429931e-05,2.0
100,RCL,0.0001260041595291379,0.0001260041595291379,2.0
101,FANG,-0.0003474768966106282,-0.0003474768966106282,2.0
102,KSS,5.104852096647186e-05,5.104852096647186e-05,1.0
103,AEP,-0.000340615194815328,-0.000340615194815328,2.0
104,AXP,-0.0002366057899457204,-0.0002366057899457204,2.0
105,AIG,-3.414746087149949e-05,-3.414746087149949e-05,2.0
106,AMT,-0.0007684666061966103,-0.0007684666061966103,2.0
107,AWK,-0.0006043221248140446,-0.0006043221248140446,2.0
108,AMP,0.0003582432725093185,0.0003582432725093185,2.0
109,ABC,-0.0004527198613681859,-0.0004527198613681859,2.0
110,AME,0.0003229217595035679,0.0003229217595035679,2.0
111,AMGN,0.00040755676352762627,0.00040755676352762627,2.0
112,APH,0.0004961815326654648,0.0004961815326654648,2.0
113,ADI,-9.338447305097468e-05,-9.338447305097468e-05,2.0
114,ANSS,0.0001244010233905712,0.0001244010233905712,2.0
115,ANTM,-0.00043061481251491175,-0.00043061481251491175,1.0
116,AON,-0.00021390955438144228,-0.00021390955438144228,2.0
117,INTC,0.00024755474358442974,0.00024755474358442974,2.0
118,TGT,0.0007032441115337493,0.0007032441115337493,2.0
119,DE,-0.0032982791248544856,0.0005117780086270532,2.0
120,CTL,0.0005243825425590269,0.0005243825425590269,2.0
121,SWK,0.00031792404882034694,0.00031792404882034694,2.0
122,JNJ,-0.0007129785276029984,-0.0007129785276029984,2.0
123,ANET,-0.0007406198012044704,-0.0007406198012044704,2.0
124,AIZ,0.0002515571028203886,0.0002515571028203886,2.0
125,T,0.0005998266847737296,0.0005998266847737296,2.0
126,BLK,-6.763616031253268e-07,-6.763616031253268e-07,2.0
127,BA,0.0007640879738491717,-0.00011895774665990668,2.0
128,BMY,0.00040776471048719937,0.00040776471048719937,2.0
129,CPRI,0.00018907395579503792,0.00018907395579503792,2.0
130,CMCSA,4.682272306757054e-05,4.682272306757054e-05,2.0
131,GS,0.00014371566608343842,0.00014371566608343842,2.0
132,MCO,-0.00015963586130400868,-0.00015963586130400868,2.0
133,MS,0.0002738520587773634,0.0002738520587773634,2.0
134,MSCI,-0.00021293034258713226,-0.00021293034258713226,2.0
135,NWSA,1.1706912812868836e-05,1.1706912812868836e-05,2.0
136,NLSN,-0.0003378214134434567,-0.0003378214134434567,2.0
137,OMC,4.3768188555602947e-05,4.3768188555602947e-05,2.0
138,RL,0.0001298829587670511,0.0001298829587670511,2.0
139,SPGI,-0.00019763258404172546,-0.00019763258404172546,2.0
140,SLG,-8.230728717132626e-06,-8.230728717132626e-06,2.0
141,TTWO,-0.00011544775730552293,-0.00011544775730552293,2.0
142,TPR,0.004657486164534028,-0.0001336491412430686,2.0
143,VRTX,0.012897763223651881,1.7932738790742433e-05,1.0
144,V,-0.00017999782056327127,-0.00017999782056327127,2.0
145,CMG,-0.0004896721538461417,-0.0004896721538461417,2.0
146,IBM,0.0026802618585244505,-0.0006650864637953064,1.0
147,NSC,-0.0001538712463553452,-0.0001538712463553452,2.0
148,ABT,-0.0008682871157017316,-0.0008682871157017316,2.0
149,ABBV,0.0004750753298593714,0.0004750753298593714,2.0
150,CERN,-0.00044080931386288464,-0.00044080931386288464,2.0
151,ALL,-0.0002432979060727175,-0.0002432979060727175,2.0
152,GOOGL,-0.0009236905351463002,0.00019090599067645163,2.0
153,BKNG,9.740344875914932e-05,9.740344875914932e-05,2.0
154,DVN,-0.00019240052782289112,-0.00019240052782289112,2.0
155,DRI,-0.0003892201444636637,-0.0003892201444636637,2.0
156,VTR,-0.0005051874242635407,-0.0005051874242635407,1.0
157,ARE,-0.00013300371581557898,-0.00013300371581557898,2.0
158,GPS,0.01338144345570414,-0.0001581606828452148,1.0
159,ADS,-0.0028022437327591596,-0.0004593082819526325,2.0
160,NRG,1.7744373899056263e-05,1.7744373899056263e-05,2.0
161,TXT,-0.0002454922017502795,-0.0002454922017502795,2.0
162,HD,-6.67333597984708e-05,-6.67333597984708e-05,2.0
