,AAPL,ACN,ADBE,AMD,AMZN,ANET,ANTM,AVY,AWK,BA,BAC,BBY,BEN,BKR,BRK-B,CDW,CE,CMCSA,CMS,CSCO,CVS,CVX,DIS,DUK,FB,GD,GM,GOOGL,GPS,HD,HSY,IBM,INTC,JNJ,JPM,KEY,KO,KSS,LMT,MA,MRK,MSFT,MYL,NDAQ,NOC,ORCL,OXY,PEP,PFE,PG,PGR,REG,ROST,SYF,T,ULTA,UNH,UPS,V,VRTX,VTR,VZ,WFC,WMT,XOM,ZTS
0,-1.1614242012966283,-1.5310378930709194,-1.1256161104948612,-0.8132096062126042,-1.362398177333912,-1.0894069003189892,-1.397967556985679,-1.5879144888407823,-1.4437099646830442,-1.1157691151862221,-1.1730738673276169,-1.2810316517129827,1.7813718805896332,1.7118489285786598,-1.5505842010688546,-1.184402760275524,-1.3332638495048041,-1.5021475380976104,-1.723826731724332,-1.1722879891529447,-0.2749091648704815,1.5167628161717521,-1.5946752082238302,-1.3879061535399841,-1.615913610069195,-1.8452197910898904,-0.3642878322360352,-1.3415643066853262,1.6232097957471028,-1.8649334809648397,-1.0431783945863746,2.5850560157409723,-0.7769300466971242,-1.390603630124061,-1.282649042201171,-0.8721009695195613,-1.3683036454120197,-0.028674624851329197,-1.6661439778719471,-1.1126703876693829,-0.7614677002694031,-1.0775197770021019,0.7216708447573223,-1.6748020554530854,-1.7798461080634944,-0.8735274112585695,1.8466982914982035,-1.674668739934312,-1.6937900463104458,-0.9342086085793219,-1.307306591611203,-1.766416678509806,-1.7693402041315491,-2.1469433607436317,-0.03464568778337941,-2.1394175381841363,-1.631329701583537,-1.3042719386049784,-1.3531196069055054,-1.2327995767190068,0.8035748545505118,-0.22946481294089924,-0.2516692010914792,-0.6981137410229447,1.9804844513358013,-1.303381164623097
1,-1.1513724604587772,-1.54711107667813,-1.1291639879288597,-0.8084564111130594,-1.3727827976372444,-1.095490008609375,-1.378713559872549,-1.5838837848026335,-1.4319781119598118,-1.116759336327632,-1.2139453839158105,-1.3121373904457918,1.7246958557101533,1.6944953686967223,-1.537633842538448,-1.1814383195623825,-1.327701118941419,-1.5328542030608354,-1.7153772217262833,-1.1965200300044216,-0.26645383124113897,1.4126853364559708,-1.6286617358656983,-1.270158879993296,-1.6228365215397609,-1.8234660487301362,-0.45976169174466913,-1.3651229776085287,1.612759877560285,-1.8918135128155333,-0.9927935785540696,2.428018937081105,-0.7931291322370978,-1.4028028669954435,-1.3323728613964292,-0.9337668346623837,-1.3683036454120197,-0.027106218350949503,-1.6638748630861777,-1.1010364269597404,-0.755857572838102,-1.0858253828086237,0.7111133149298645,-1.6865914517000775,-1.7707188182852258,-1.0051218438292406,1.8589361789506413,-1.6739133704078386,-1.653828092120096,-0.7670350352915672,-1.3189787713443923,-1.8045389580045477,-1.762800562885436,-2.1469433607436317,-0.11077347094838075,-2.127908121925282,-1.624340672397711,-1.3115448161942274,-1.3482842153389147,-1.2663029954526903,0.8218039840767077,-0.3580116636506362,-0.3661612155130155,-0.7004992194741759,1.96514072142644,-1.3092798448504144
2,-1.1616138977358295,-1.5290980406650876,-1.1311096798185476,-0.8060798135632871,-1.3612423770143254,-1.0523120155097518,-1.3690057067735601,-1.5669552891093226,-1.4615249634657381,-1.1212150292909084,-1.2033489845986045,-1.2826979643576593,1.760552152366708,1.7234181319552628,-1.4116921060205203,-1.189343473855899,-1.2859817006983996,-1.4913099929692206,-1.7301638138598163,-1.1786093474289046,-0.20921619979898373,1.433655849102289,-1.502231811550489,-1.3777305727697888,-1.5953836469852167,-1.828815106623334,-0.4170493236374354,-1.3307945249784738,1.6245157863806938,-1.884971343228281,-0.9758218127142474,2.4585542151418136,-0.7596507749389515,-1.3861085814338707,-1.325269367570679,-0.9727140552523648,-1.3430045983853784,-0.012990858990490411,-1.6461750752501203,-1.0912247172887255,-0.731545831646429,-1.0717058634986871,0.7013097710881773,-1.6705148535996068,-1.778582276737107,-0.9224537774744208,2.0533871849722214,-1.5545903370626868,-1.6813021142699873,-0.7978868082700122,-1.3083677172586767,-1.7711817362217452,-1.7582905485310227,-2.1469433607436317,-0.07271013783957438,-2.103627826976745,-1.6119509030536368,-1.293361697389265,-1.3461687027074616,-1.286696219704009,0.8639590364051164,-0.27521886127516587,-0.23293421637620976,-0.7004992194741759,2.110906155565371,-1.2919305984911342
3,-1.1705276046344613,-1.5540391511886804,-1.1288206562181273,-0.7997422200972273,-1.3635714533415046,-1.018199125039343,-1.387774206305999,-1.5818685096613783,-1.4945479931503847,-1.1079469120806062,-1.2109178000071386,-1.2904744785000728,1.6680198308306724,1.657859639731804,-1.467702301686323,-1.1801207624345056,-1.3253834029552063,-1.5518199931653531,-1.7808610753003153,-1.1996808096185803,-0.21572083699679004,1.1843367256083945,-1.535538463433408,-1.555076250613889,-1.61495870688748,-1.8601976973472945,-0.47986089676154153,-1.3669441618325349,1.612759877560285,-1.884971343228281,-1.023555030588377,2.300271497200046,-0.8924852538243429,-1.4079396456098,-1.3499223883843146,-0.9921873560248202,-1.393602692438661,0.0042610142277749305,-1.666749229038609,-1.0979528231628606,-0.8278571806798845,-1.0797345559318041,0.6538008868646198,-1.7021322517813822,-1.7826544554729986,-0.9460732250043694,1.9418839661243958,-1.5915959535442157,-1.7662213860204983,-0.7842544640203504,-1.3120815558303234,-1.8553682600421546,-1.7634770478339956,-2.1469433607436317,-0.17519006074388377,-2.0922759882695634,-1.6322828446631874,-1.3745785799086765,-1.355960395992349,-1.2791701753100075,0.7534439871571508,-0.3950512488280493,-0.3557522730450081,-0.712426611730332,1.899380923334247,-1.3276701359989387
4,-1.1735621688777307,-1.570943669908668,-1.1372898252463761,-0.7965734233641976,-1.360822051980176,-1.0333471539580064,-1.3732124883785402,-1.5879144888407823,-1.5028036676948968,-1.1369586238114682,-1.1806426827361507,-1.2899190056366423,1.7883114958460702,1.6732850807786301,-1.431441347202693,-1.177156321721364,-1.3086955649258403,-1.5771077133047107,-1.8030409635006144,-1.2038949814851012,-0.23133087455640197,1.2441425963406145,-1.5464144012035685,-1.7207945945294105,-1.620210583322334,-1.9172565821932803,-0.46981081503883193,-1.3615990248014083,1.6702334310287394,-1.8729975464505895,-0.9577890839001026,2.229853892116002,-0.8892455191104159,-1.3507943306680554,-1.342819053954813,-0.9824507056385932,-1.2234105390016359,0.06464331834908507,-1.7254458962421362,-1.0957100855582773,-0.8372076308632604,-1.089147604008931,0.6123244658694476,-1.6999886508546427,-1.8120020822891878,-0.9123308812837244,1.9622806256876502,-1.492663287988818,-1.7986902951561299,-0.663717915523099,-1.3083677172586767,-1.8521913529231697,-1.7571629589194098,-2.1520740552192876,-0.3186630697572984,-2.1034701291368654,-1.6241817950197808,-1.4691296878962747,-1.3550537081956877,-1.2837830077964274,0.7226817601844534,-0.5105259892344027,-0.4265287937370376,-0.6611399624875922,1.984868493619987,-1.3245472663596982
5,-1.1826655722155637,-1.5803657497575505,-1.1418677851298942,-0.7981578217307125,-1.36509499130381,-1.0166484770630961,-1.4387405893782526,-1.5907359047896676,-1.4967205216354353,-1.1221062132095239,-1.1927527296445457,-1.31991379864259,1.7073459351154445,1.6360064820800302,-1.4366215894178722,-1.1926373038510096,-1.3448526062662642,-1.5969768331395462,-1.7692429235084208,-1.2112699329657808,-0.2911697653967034,1.237928891641151,-1.6198249067791286,-1.6103160682707705,-1.6035002329652162,-1.9300948652934051,-0.5426724698856477,-1.3722102745482092,1.6349657045675117,-1.8742192559139481,-0.9699877302719196,2.1257859598968243,-0.9076045651164522,-1.4008766974826028,-1.3561901676778447,-1.050607877387257,-1.3545048032829097,0.04268622562968233,-1.7269587933231059,-1.1139319543068649,-0.8643244357705834,-1.075581805834297,0.5044866342953385,-1.7128500519900416,-1.8215506134657233,-0.9949995912202207,1.8861320859866972,-1.5387310340755151,-1.8586332264416554,-0.7318785419798689,-1.3126121186540605,-1.6663462250275485,-1.763928152497049,-2.164900302118471,-0.4387114581369413,-2.114348994612616,-1.6597626928364944,-1.5515590249578446,-1.3650267205944226,-1.334037950672391,0.7283785534604702,-0.6151070273425306,-0.5014687325981111,-0.6760488615701679,1.9070527882889259,-1.3422434394058964
6,-1.1777346223642324,-1.5423998253256337,-1.1354586936833624,-0.7965734233641976,-1.3557260986036617,-1.0189147527203997,-1.417868637322299,-1.5734042618147226,-1.4354542901385319,-1.1142839345606412,-1.1806426827361507,-1.284919855811382,1.7952515523293158,1.6835690350538008,-1.373488931217514,-1.1857202545788192,-1.3212114434478641,-1.5229196431434173,-1.7027030574553155,-1.193359250390263,-0.18059788031205304,1.4095784841062389,-1.5287412616236855,-1.4431448621417409,-1.6061261711826431,-1.8313114243329014,-0.4371494870828492,-1.3479389347984947,1.9445373057989148,-1.8263238823680432,-0.9238455522204584,2.2709828092909143,-0.9162444069807067,-1.3270370969792855,-1.3382227037257244,-0.9792050523356716,-1.3315052708303017,0.1422777948316137,-1.6838437657080045,-1.0983733097288162,-0.7792340549933506,-1.076412334731497,0.45622318874378526,-1.7048116507272884,-1.785603252392454,-0.9494475237346027,1.9887970411184843,-1.509277960502464,-1.7837046814307675,-0.6737626278978699,-1.2929818001483522,-1.6012211439210497,-1.7163467612601058,-2.1597696076428163,-0.36258255802455136,-2.0973212365518434,-1.6461021468448405,-1.4436736915020651,-1.3564438521443272,-1.2932513169451916,0.7967385503800272,-0.604213325044305,-0.4390190482441578,-0.6331111594149912,2.068162788507784,-1.3238532806216177
7,-1.154027631823644,-1.539905819987302,-1.1288206562181273,-0.7949890249976825,-1.3530467603217697,-1.044797651857253,-1.4371226344354293,-1.5657461547756968,-1.4458824931680947,-1.1126006039462049,-1.1776150988274787,-1.2860308015382431,1.8160712805522425,1.7015654646694198,-1.3394942709511386,-1.179461983870567,-1.2896900109102618,-1.5003412231563207,-1.696365773867623,-1.1722879891529447,-0.14482436066070603,1.3979279359376187,-1.4845586719706059,-1.4678568284329114,-1.5970546820209284,-1.8077747533681554,-0.36931287309738736,-1.3506709527990775,1.907963588704098,-1.8153275650221217,-0.9206634725751216,2.3233281852209773,-0.8708860611340432,-1.3219003183649292,-1.339058418257945,-1.0311342670922656,-1.303906709229627,0.1509038810122221,-1.6785490875959808,-1.0919255995250614,-0.7689483457735516,-1.076412334731497,0.41927183434768456,-1.6865914517000775,-1.776756861634088,-0.9528218224648337,1.9867569420200997,-1.3959967310128427,-1.806183340210848,-0.6357355911696431,-1.2940428246013147,-1.5249771908646408,-1.7260434469635118,-2.164900302118471,-0.36258255802455136,-2.0927489615009947,-1.6500732329775787,-1.4279154817814106,-1.3557185756889367,-1.2985924524085068,0.8218039840767077,-0.6107502113322071,-0.46191745112846533,-0.6515980486826674,1.957468856471761,-1.3141377450169796
8,-1.1544068800060587,-1.5507135993095165,-1.1308807337998443,-0.7997422200972273,-1.3513130331211543,-1.0298881351654525,-1.4165742239912207,-1.562924585071174,-1.4289365389300812,-1.1158681524090164,-1.1791288907818145,-1.2960291011887644,1.7987213599575338,1.693852498963042,-1.3035571433578437,-1.1718862188590198,-1.2920079037268695,-1.495825608062771,-1.6953095599363408,-1.1807165338383434,-0.12466137480311784,1.3497726133740189,-1.50427092023408,-1.4969307085299872,-1.6116166368160565,-1.8291718011756222,-0.3944371189756154,-1.3709828601806762,1.907963588704098,-1.8143500855903516,-0.9180114697781299,2.315226775540248,-0.8590064845558617,-1.355931109282413,-1.3378049261577385,-1.0116609663198113,-1.2786076622029856,0.15874561437116522,-1.6841463912913355,-1.0919255995250614,-0.7343512520588897,-1.0675530077896724,0.38986149049373603,-1.7074910496731939,-1.7832161463812168,-0.9561954776133893,1.9894765327237052,-1.439798944698247,-1.8486429760861045,-0.6400408588986661,-1.2882068359292311,-1.5472149347644577,-1.7330340208266581,-2.1469433607436317,-0.3128069145988539,-2.1293270416195766,-1.6445137366293314,-1.3867003508347067,-1.3574109489031299,-1.317771714881959,0.7728126275778145,-0.573710626154794,-0.4848158540127714,-0.6599469957702304,1.931164602766654,-1.3193424395062163
9,-1.1303206412830555,-1.5390744848745248,-1.1194358777497102,-0.7973656036599368,-1.3391246759802404,-1.0450362550845842,-1.3892304521639742,-1.5568787596474074,-1.4180737307515288,-1.1009167045842776,-1.1730738673276169,-1.2899190056366423,1.8091312240689972,1.7202047640187184,-1.302909489577174,-1.1596991295490666,-1.2804191469654094,-1.4678282432518062,-1.6784105399402438,-1.1754485678147468,-0.10905084100935901,1.38938424011873,-1.4777614701608837,-1.5623449979019393,-1.5891770494978068,-1.7614142563867903,-0.3316255458515093,-1.3217275118547356,1.872695862242871,-1.8094626884315008,-0.8936145816733123,2.3532396927710586,-0.7542510797589619,-1.2846598980862738,-1.3223444464060308,-0.9954330093277413,-1.218810632511116,0.0944424435703835,-1.6340725911094176,-1.0825342694803872,-0.6576764191254196,-1.052049132835726,0.42153407997610753,-1.6828402522908026,-1.753306721525223,-0.8988336863627958,2.001714961603717,-1.3997730024670827,-1.8161740669504711,-0.6357355911696431,-1.2669847277578008,-1.391550121532654,-1.746789788267444,-2.100768089042642,-0.29816708517643903,-2.1375256452584104,-1.6240229176418504,-1.3612443544404935,-1.3505810470842154,-1.2366841062285312,0.9516884349416593,-0.5562808687048774,-0.44110036028326755,-0.6712779046677054,1.9969235646882846,-1.3047691360992582
