,AAPL,ACN,ADBE,AMD,AMZN,ANET,ANTM,AVY,AWK,BA,BAC,BBY,BEN,BKR,BRK-B,CDW,CE,CMCSA,CMS,CSCO,CVS,CVX,DIS,DUK,FB,GD,GM,GOOGL,GPS,HD,HSY,IBM,INTC,JNJ,JPM,KEY,KO,KSS,LMT,MA,MRK,MSFT,MYL,NDAQ,NOC,ORCL,OXY,PEP,PFE,PG,PGR,REG,ROST,SYF,T,ULTA,UNH,UPS,V,VRTX,VTR,VZ,WFC,WMT,XOM,ZTS
0,-1.3772972361044489,-1.4726512243557017,-1.4595171238586868,-1.3789482862141227,-1.4369538207154873,-1.3109243944570832,-1.4050667388445572,-1.423820886296125,-1.418350431557204,-1.3508538207408003,-1.3606803009050275,-1.3918198015378853,1.0877529675635245,1.2944584068863874,-1.4304340436007832,-1.4616978077113005,-1.359064688306891,-1.3231936828518183,-1.413910216089035,-1.3805016278654243,1.2138675725407775,-0.7554076121957964,-1.1346923233934254,-1.095353296252405,-1.3829235647374258,-0.9883736209365082,-0.6365875117298757,-1.4413251945521566,0.9182146367140802,-1.457580805863975,-1.1775225359470667,0.789629757712243,-1.361314559584864,-1.3158018509829077,-1.431672612102107,-1.0176283060634532,-1.2642778931864334,-0.1218957977735553,-1.4376831226151083,-1.4509401483470645,-1.2509371424455358,-1.452884953900814,1.2590283677421024,-1.4443844730650142,-1.3942495275822238,-1.3367999114556526,0.9830825203623558,-1.3636417594547923,-1.0845278700432646,-1.1306150445866332,-1.4562630926819995,0.2543304595927769,-1.4373295632308143,-0.5722260510860352,0.21950325250789243,-1.0847131368059795,-1.4303761071671586,-0.75258615466065,-1.4706731297114226,-1.2910123354329228,0.5779324908245856,-1.0827648878027811,0.273058002160257,-1.3056924739579958,0.9646140320069548,-1.4481060636782208
1,-1.379703978650086,-1.4752245921543377,-1.4620675406213108,-1.3813579138686816,-1.4394648094881166,-1.3132151545280009,-1.4075220068950482,-1.4263089260703918,-1.4208289120469395,-1.3532143550380367,-1.3630580063743718,-1.394251921376952,1.089653749237626,1.2967203936527465,-1.4329336394623118,-1.4642520350853665,-1.361439570592194,-1.3255058827525783,-1.4163809375742515,-1.3829139698893598,1.2159887317611837,-0.7567276407211654,-1.136675128716293,-1.0972673590352877,-1.3853401389476752,-0.9901007432904464,-0.6376999094087057,-1.4438438220327714,0.9198191605410916,-1.460127839029524,-1.1795801844425546,0.7910095873404229,-1.3636933733823962,-1.3181011341103068,-1.4341743722862161,-1.0194065491874829,-1.2664871413539869,-0.12210880321271944,-1.4401953857981296,-1.4534755773704153,-1.2531230784684357,-1.4554237813527293,1.2612284426855325,-1.446908446447416,-1.3966858932187058,-1.339135887407368,0.9848003968421782,-1.3660246398915308,-1.0864230160570219,-1.1325907251145637,-1.4588078232244872,0.25477488649040475,-1.439841208590471,-0.5732259810552305,0.21988682099468523,-1.086608606562055,-1.4328756017883189,-0.7539012528618213,-1.4732430409108475,-1.2932683004005263,0.5789423924476425,-1.084656953113075,0.27353515429125563,-1.3079740915683535,0.9662996359347722,-1.4506365403122312
2,-1.3718400845373573,-1.4668162595230543,-1.4537341991922654,-1.373484592826967,-1.4312602967694614,-1.3057302265418231,-1.399499558460575,-1.4181793978960717,-1.4127306182900623,-1.3455014437436479,-1.3552889892536684,-1.38630510840414,1.0834430534390052,1.2893294807994848,-1.4247663524314202,-1.4559062427005935,-1.3536797780644587,-1.3179509013442012,-1.4083079959224714,-1.3750317798003935,1.2090579648888602,-0.7524145227401413,-1.1301964253196828,-1.0910132679705873,-1.3774441204311119,-0.9844574694239842,-0.6340652133863073,-1.4356143502710879,0.9145764703747333,-1.4518055533110976,-1.1728569352445601,0.7865010726639019,-1.3559207348625004,-1.3105883575227866,-1.4260000134546336,-1.0135962411180113,-1.2592685488668618,-0.12141282007897769,-1.4319867090161449,-1.4451912075253264,-1.2459806570854561,-1.4471283073359744,1.254039823185468,-1.4386615072562947,-1.3887252073447984,-1.3315032191074405,0.9791873333424866,-1.3582387138597776,-1.0802307344574118,-1.1261353015793836,-1.4504930611956919,0.2533227469293496,-1.4316345505111219,-0.5699587668647678,0.21863353282284234,-1.0804152671528695,-1.4247086455545617,-0.7496042444341444,-1.464846002520502,-1.285897063431529,0.5756425964464505,-1.078474737536469,0.27197608689510305,-1.3005190360510464,0.9607920211596129,-1.4423683521170854
3,-1.388010019934799,-1.4841056829943067,-1.4708694238813136,-1.3896739121111337,-1.4481306206479843,-1.3211209223289262,-1.4159955172127114,-1.4348955366825367,-1.429382532087611,-1.3613609245007192,-1.3712638362114948,-1.4026455436317622,1.0962136411907284,1.3045268603231892,-1.4415601319214213,-1.4730670693556478,-1.3696356571839314,-1.3334856427269208,-1.4249077800886023,-1.3912393358409358,1.2233091807589727,-0.7612832636101152,-1.1435180969852268,-1.10387308615179,-1.3936801108297072,-0.9960613100330615,-0.6415389660880877,-1.4525359955569905,0.9253566207790475,-1.4689180449719639,-1.1866814480920191,0.7957715930972532,-1.3719030282317546,-1.3260363162992133,-1.4428083341577633,-1.0255435416253407,-1.2741115989517222,-0.12284391797386124,-1.4488655951456424,-1.4622257356208632,-1.2606670822443538,-1.4641856681065073,1.268821242066056,-1.4556190695066833,-1.4050941683779914,-1.3471977022160266,0.9907290546412055,-1.3742483293426373,-1.092963458473417,-1.1394091046126709,-1.4675900824581094,0.25630867254759065,-1.4485092857338628,-0.5766768942495037,0.22121057525024163,-1.093150166263332,-1.4415017448512362,-0.7584398604383493,-1.482112202491576,-1.301053984910799,0.5824277193638159,-1.0911867635446744,0.27518188019733475,-1.3158483073218887,0.9721169161584113,-1.4593696071000326
4,-1.3868574727960186,-1.4828733419203832,-1.4696480736592932,-1.3885199833438784,-1.4469281518045054,-1.3200239171797237,-1.4148197320537785,-1.4337040577151658,-1.4281956308953143,-1.3602305056882855,-1.3701251944234385,-1.4014808437486073,1.0953033899119187,1.3034436342090157,-1.4403631189448838,-1.4718438942980951,-1.368498367369602,-1.3323783704161618,-1.4237245945485986,-1.3900841072094037,1.2222933945068,-0.7606511249117819,-1.1425685660078597,-1.1029564747810157,-1.3925228554777702,-0.9952342211817993,-0.6410062581903336,-1.451329868669136,0.9245882422296762,-1.4676983150957237,-1.1856960760212134,0.7951108166910497,-1.370763855684609,-1.324935229606524,-1.4416102847247914,-1.0246919719265495,-1.2730536284351062,-0.12274191337436707,-1.4476625160091956,-1.4610115627664626,-1.2596202755082875,-1.4629698678037841,1.2677676644469005,-1.4544103825594572,-1.4039274352563118,-1.3460790439680597,0.9899063934782213,-1.3731072093527168,-1.0920559060143114,-1.1384629855756603,-1.466371455267998,0.2560958442373143,-1.4473065024622782,-0.5761980451814694,0.22102689097425593,-1.092242458769662,-1.44030478035695,-0.7578100827865092,-1.480881516722886,-1.2999736425312978,0.5819440950442085,-1.0902806863808672,0.27495338034206673,-1.3147556803380114,0.9713097097591873,-1.458157805858738
5,-1.3973713919203652,-1.4941151679150675,-1.480789637439855,-1.3990465061436468,-1.4578974733571683,-1.3300311637639386,-1.4255456361427932,-1.4445731259552315,-1.4390229391454588,-1.3705425628447019,-1.3805122643040624,-1.4121056242574412,1.103607005448517,1.3133251838433766,-1.4512826702609587,-1.483002104836569,-1.3788731040952993,-1.3424792774699645,-1.4345180073801627,-1.4006224878043279,1.2315597352434287,-0.7664177047990736,-1.151230504045954,-1.1113181091962254,-1.4030797244917002,-1.0027792013376848,-0.6458657971761429,-1.4623325601217567,0.9315976474445654,-1.478825097542045,-1.1946849684588834,0.8011386392939946,-1.3811557673265382,-1.3349797093907343,-1.452539290941894,-1.032460274532644,-1.2827047880912876,-0.12367243332735395,-1.4586374048577107,-1.4720876522075015,-1.2691695954375959,-1.4740608033708216,1.2773787506283694,-1.4654364277268896,-1.414570763644612,-1.3562838173358127,0.9974109827859609,-1.383516886216689,-1.1003349020180977,-1.147093798756681,-1.4774881786439449,0.2580373350157171,-1.458278692332915,-0.580566265972342,0.2227025201586479,-1.1005228690504167,-1.4512238894017697,-0.7635551244207937,-1.4921082424715484,-1.3098288857768787,0.5863558772714409,-1.09854622424925,0.2770378321769435,-1.3247229878389621,0.9786733155610957,-1.4692122606546048
6,-1.3765704586000216,-1.4718741300918985,-1.4587469602475647,-1.3782206374772215,-1.4361955633949754,-1.3102326408290927,-1.4043253078220865,-1.423069559012974,-1.417601990944656,-1.350140996999528,-1.3599622918888967,-1.3910853607102573,1.0871789778926852,1.293775342094068,-1.4296792266613427,-1.4609264933885333,-1.3583475318234317,-1.3224954549185242,-1.4131641185064685,-1.3797731594552243,1.213227034229983,-0.755008995800711,-1.1340935645827122,-1.0947752960108827,-1.3821938183102593,-0.9878520721416397,-0.6362515947825411,-1.4405646305282809,0.9177301096819291,-1.456811664016582,-1.1769011763250121,0.7892130828437486,-1.3605962158806728,-1.3151075235998928,-1.4309171415900748,-1.0170913200437854,-1.2636107541636967,-0.12183147533001609,-1.4369244804537642,-1.4501745106673787,-1.250277043121476,-1.4521182899786511,1.2583639988091488,-1.4436222947092827,-1.393513804627409,-1.3360945037353014,0.9825637635957948,-1.3629221877248203,-1.083955582204293,-1.1300184372900872,-1.455494646170568,0.25419625351737263,-1.4365711076370464,-0.5719240966418712,0.21938742418711357,-1.0841407512047299,-1.4296213207998385,-0.7521890271031317,-1.4698970792562116,-1.290331089076846,0.577627525184346,-1.0821935302610608,0.27291391386314023,-1.3050034811299434,0.964105020763383,-1.4473419214992362
7,-1.3689162501621772,-1.4636900002381663,-1.450635822003931,-1.3705572534733848,-1.4282098187270909,-1.3029472936299582,-1.3965167728114327,-1.415156799474814,-1.409719632978302,-1.3426337455203532,-1.3524004306091533,-1.3833504443903628,1.081133886299992,1.2865815031748438,-1.421729715082218,-1.4528032361858927,-1.3507946491688223,-1.315141922226603,-1.4053064366476469,-1.3721011428915724,1.2064810717952899,-0.7508108843344927,-1.1277876116421253,-1.0886879662589481,-1.3745083420451316,-0.9823592725405075,-0.6327138155900911,-1.4325545923341854,0.9126272124743752,-1.4487112866901601,-1.1703571982394319,0.7848247848091509,-1.3530308297640157,-1.3077950703644454,-1.4229607467752727,-1.0114359400991548,-1.2565846407989605,-0.12115405013856283,-1.4289346827546185,-1.4421110382119362,-1.2433250698074212,-1.4440440094371332,1.2513670592210655,-1.4355952548435125,-1.385765385318397,-1.3286653556227894,0.9771003688214484,-1.3553438683992567,-1.077928413807846,-1.1237351434684095,-1.4474015919194356,0.2527828343230367,-1.4285832748131302,-0.5687440006148398,0.21816755413768818,-1.0781125532045188,-1.4216721311973557,-0.7480065956393895,-1.4617239424897521,-1.2831564013970964,0.574415716119597,-1.0761761594835935,0.27139641799560515,-1.2977472098695244,0.9587442629912017,-1.4392941992204566
8,-1.3697802809742423,-1.4646138502248747,-1.4515514324710783,-1.3714223200518258,-1.4291112743781051,-1.3037696862402142,-1.3973982244861656,-1.416050016337792,-1.4106094180174684,-1.3434811873746744,-1.3532540369873065,-1.3842235857587228,1.0818162750068394,1.2873935660463627,-1.4226270806296821,-1.4537202146787578,-1.351647242011895,-1.3159720118269767,-1.4061934361711845,-1.3729671839401665,1.2072425769787374,-0.7512847801904458,-1.128499447187805,-1.0893751229403452,-1.3753759024666157,-0.9829793168126769,-0.6331131710888839,-1.433458790313861,0.913203243353849,-1.4496256824315636,-1.171095902802462,0.7853201495154044,-1.3538848340367031,-1.308620522788235,-1.4238588893237503,-1.0120743369452527,-1.2573777702891606,-0.1212305199973389,-1.4298365959243848,-1.443021268016927,-1.2441098301385218,-1.4449554592924354,1.2521568954847828,-1.4365013720246709,-1.3866400509460908,-1.3295039809265983,0.9777170937854786,-1.3561993326127186,-1.078608779288656,-1.124444421182398,-1.448315161009365,0.25294238546985837,-1.4294849661816802,-0.5691029797274407,0.21830525685613095,-1.0787930349101982,-1.4225694603990968,-0.7484787214879823,-1.4626465515426395,-1.2839663024172459,0.5747782750983533,-1.076855418978755,0.2715677176404187,-1.2985663202975477,0.9593494019717762,-1.4402026510966073
9,-1.3535738229349479,-1.4472853755511432,-1.4343775048646095,-1.3551964343438905,-1.4122028459072131,-1.2883442278609127,-1.3808650067111132,-1.399296121213095,-1.393919892945116,-1.3275858851921352,-1.337243108029166,-1.3678462427854068,1.0690168426375442,1.272161860569227,-1.4057953694362704,-1.4365206272797417,-1.3356553237343054,-1.3004021824997571,-1.3895561584741871,-1.356723020284935,1.1929591722321455,-0.7423960077100469,-1.115147686184786,-1.0764862585989583,-1.3591032402293346,-0.9713492668895692,-0.6256225376027025,-1.4164989245171682,0.9023987440846409,-1.4324745391998177,-1.1572401648623167,0.7760286899818494,-1.3378664418481057,-1.2931376720810817,-1.4070126040733235,-1.0001000513593308,-1.2425011945661992,-0.1197961897162654,-1.4129195858631691,-1.425948264444929,-1.229390233106454,-1.427859571473831,1.2373420901710035,-1.4195055081387136,-1.370234117736657,-1.3137740490687408,0.9661493034801127,-1.3401535565987184,-1.0658472961769825,-1.1111406369313575,-1.4311795231186824,0.24994971561366752,-1.4125721164027738,-0.5623696782709252,0.2157223937253521,-1.0660293717912341,-1.405738430935348,-0.7396231486916852,-1.4453413528234442,-1.2687751463661505,0.5679778267880198,-1.0641146806249706,0.268354683490419,-1.2832024251725755,0.9479989277066483,-1.423162995790373
